angulo_central_graus,angulo_de_entrada_graus,angulo_de_saida_graus,rampa_maxima_graus,inclinacao_lateral_maxima_graus,curso_do_pistao_mm,diametro_do_cilindro_mm,altura_do_flanco_mm,altura_mm,bitola_dianteira_mm,bitola_traseira_mm,comprimento_mm,distancia_entre_eixos_mm,largura_mm,vao_livre_do_solo_mm,altura_minima_do_solo_mm,travessia_de_agua_mm,potencia_maxima_rpm,rotacao_de_potencia_maxima_rpm,rotacao_de_torque_maximo_rpm,rotacao_maxima_rpm,potencia_especifica_cv,potencia_maxima_cv,potencia_cv,potencia_combinada_cv,potencia_especifica_cv/litro,peso_potencia_kg/cv,peso_torque_kg/kgfm,torque_especifico_kgfm/litro,peso_potencia_kg,peso_torque_kg,torque_especifico_kg,peso_kg,carga_util_kg,reboque_com_freio_kg,reboque_sem_freio_kg,torque_kg,torque_combinado_kg,consumo_rodoviario_gasolina_km/l,consumo_urbano_gasolina_km/l,consumo_rodoviario_diesel_km/l,consumo_urbano_diesel_km/l,consumo_rodoviario_km/l,consumo_urbano_km/l,consumo_rodoviario_alcool_km/l,consumo_urbano_alcool_km/l,velocidade_maxima_km/h,velocidade_maxima_modo_eletrico_km/h,velocidade_maxima_km,consumo_rodoviario_gasolina_km,consumo_urbano_gasolina_km,autonomia_rodoviaria_gasolina_km,autonomia_urbana_gasolina_km,consumo_rodoviario_diesel_km,consumo_urbano_diesel_km,autonomia_rodoviaria_diesel_km,autonomia_urbana_diesel_km,autonomia_km,consumo_eletrico_km,autonomia_eletrica_km,velocidade_maxima_modo_eletrico_km,consumo_rodoviario_km,consumo_urbano_km,autonomia_rodoviaria_km,autonomia_urbana_km,consumo_rodoviario_alcool_km,consumo_urbano_alcool_km,autonomia_rodoviaria_alcool_km,autonomia_urbana_alcool_km,aceleracao_0_100_km_h_s,cilindrada_cm³,cilindrada_unitaria_cm³,porta_malas_litros,tanque_de_combustivel_litros,porta_malas_5_lugares_litros,porta_malas_7_lugares_litros,porta_malas_6_lugares_litros,diametro_minimo_de_giro_m,diametro_de_giro_m,frenagem_0_100_km_h_m,area_frontal_m²,area_frontal_corrigida_m²,capacidade_de_bateria_kWh,consumo_eletrico_kWh,ID
NA,NA,NA,NA,NA,91,83,117,1440,1472,1441,4093,2540,1712,NA,NA,NA,150,NA,NA,NA,76.2,150,NA,NA,76.2,8.2,65.1,9.6,8.2,65.1,9.6,1230,NA,NA,NA,NA,NA,12.9,8.9,NA,NA,NA,NA,NA,NA,210,NA,210,12.9,8.9,787,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1969,NA,300,61,NA,NA,NA,11,NA,NA,2.1,0.672,NA,NA,0
NA,NA,NA,NA,NA,91,83,107,1440,NA,NA,4443,2540,1730,NA,NA,NA,150,NA,NA,NA,76.2,150,NA,NA,76.2,9.1,71.9,9.6,9.1,71.9,9.6,1358,NA,NA,NA,NA,NA,12.5,8,NA,NA,NA,NA,NA,NA,210,NA,210,12.5,8,850,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1969,NA,403,68,NA,NA,NA,NA,NA,NA,2.12,0.636,NA,NA,1
NA,NA,NA,NA,NA,91,83,117,1440,NA,NA,4443,2540,1730,NA,NA,NA,150,NA,NA,NA,76.2,150,NA,NA,76.2,9.1,71.9,9.6,9.1,71.9,9.6,1358,NA,NA,NA,NA,NA,12.5,8,NA,NA,NA,NA,NA,NA,210,NA,210,12.5,8,850,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1969,NA,403,68,NA,NA,NA,NA,NA,NA,2.12,NA,NA,NA,2
NA,NA,NA,NA,NA,72.6,93,127,1400,1515,1488,4555,2660,1760,140,NA,NA,215,6300,5000,NA,72.7,215,NA,NA,72.7,7.3,57.5,9.3,7.3,57.5,9.3,kg,425,NA,NA,NA,NA,8.5,6,NA,NA,NA,NA,NA,NA,235,NA,235,8.5,6,595,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2959,NA,504,70,NA,NA,NA,NA,10.8,NA,2.09,0.648,NA,NA,3
NA,NA,NA,NA,NA,72.6,93,127,1400,1515,1488,4555,2660,1760,140,NA,NA,215,NA,NA,NA,72.7,215,NA,NA,72.7,7,54.8,9.3,7,54.8,9.3,1507,425,NA,NA,NA,NA,10.8,7.5,NA,NA,NA,NA,NA,NA,240,NA,240,10.8,7.5,756,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,2959,NA,504,70,NA,NA,NA,10.8,NA,NA,2.09,0.648,NA,NA,4
NA,NA,NA,NA,NA,72.6,93,127,1400,1515,1488,4555,2660,1760,140,NA,NA,192,NA,NA,NA,64.9,192,NA,NA,64.9,7.1,54.6,8.4,7.1,54.6,8.4,1365,425,NA,NA,NA,NA,12.5,8.3,NA,NA,NA,NA,NA,NA,230,NA,230,12.5,8.3,875,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,2959,NA,504,70,NA,NA,NA,10.8,NA,NA,2.09,0.648,NA,NA,5
NA,NA,NA,NA,NA,95,88,137,1362,1397,1400,4719,2717,1692,150,NA,NA,149,5500,3400,NA,64.5,149,NA,NA,64.5,9.6,59.4,10.4,9.6,59.4,10.4,1426,NA,NA,NA,NA,NA,9.6,5.1,NA,NA,NA,NA,NA,NA,171,NA,171,9.6,5.1,960,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,2310,NA,436,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
NA,NA,NA,NA,NA,95,88,130,1440,1397,1400,4692,2729,1692,150,NA,NA,141,NA,NA,NA,61,141,NA,NA,61,9.8,64.4,9.3,9.8,64.4,9.3,1385,NA,NA,NA,NA,NA,9.6,5.1,NA,NA,NA,NA,NA,NA,166,NA,166,9.6,5.1,960,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,2310,NA,436,100,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,7
NA,NA,NA,NA,NA,95,88,130,1440,1397,1400,4692,2729,1692,150,NA,NA,141,NA,NA,NA,61,141,NA,NA,61,9.8,64.4,9.3,9.8,64.4,9.3,1385,NA,NA,NA,NA,NA,9.6,5.1,NA,NA,NA,NA,NA,NA,166,NA,166,9.6,5.1,960,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,2310,NA,436,100,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,8
NA,NA,NA,NA,NA,95,88,130,1463,1397,1400,4692,2729,1692,150,NA,NA,140,NA,NA,NA,60.6,140,NA,NA,60.6,9.7,64.8,9.1,9.7,64.8,9.1,1360,NA,NA,NA,NA,NA,9.6,5.1,NA,NA,NA,NA,NA,NA,169,NA,169,9.6,5.1,960,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,2310,NA,436,100,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,9
