criterios,multiplier
angulo_central_graus,1
angulo_de_entrada_graus,1
angulo_de_saida_graus,1
rampa_maxima_graus,1
inclinacao_lateral_maxima_graus,1
curso_do_pistao_mm,1
diametro_do_cilindro_mm,1
altura_do_flanco_mm,1
altura_mm,1
bitola_dianteira_mm,1
bitola_traseira_mm,1
comprimento_mm,1
distancia_entre_eixos_mm,1
largura_mm,1
vao_livre_do_solo_mm,1
altura_minima_do_solo_mm,1
travessia_de_agua_mm,1
potencia_maxima_rpm,1
rotacao_de_potencia_maxima_rpm,1
rotacao_de_torque_maximo_rpm,1
rotacao_maxima_rpm,1
potencia_especifica_cv,1
potencia_maxima_cv,1
potencia_cv,1
potencia_combinada_cv,1
potencia_especifica_cv/litro,1
peso_potencia_kg/cv,-1
peso_torque_kg/kgfm,1
torque_especifico_kgfm/litro,1
peso_potencia_kg,1
peso_torque_kg,-1
torque_especifico_kg,1
peso_kg,-1
carga_util_kg,1
reboque_com_freio_kg,1
reboque_sem_freio_kg,1
torque_kg,1
torque_combinado_kg,1
consumo_rodoviario_gasolina_km/l,-1
consumo_urbano_gasolina_km/l,-1
consumo_rodoviario_diesel_km/l,-1
consumo_urbano_diesel_km/l,-1
consumo_rodoviario_km/l,-1
consumo_urbano_km/l,-1
consumo_rodoviario_alcool_km/l,-1
consumo_urbano_alcool_km/l,-1
velocidade_maxima_km/h,1
velocidade_maxima_modo_eletrico_km/h,1
velocidade_maxima_km,1
consumo_rodoviario_gasolina_km,1
consumo_urbano_gasolina_km,1
autonomia_rodoviaria_gasolina_km,1
autonomia_urbana_gasolina_km,1
consumo_rodoviario_diesel_km,-1
consumo_urbano_diesel_km,-1
autonomia_rodoviaria_diesel_km,1
autonomia_urbana_diesel_km,1
autonomia_km,1
consumo_eletrico_km,1
autonomia_eletrica_km,1
velocidade_maxima_modo_eletrico_km,1
consumo_rodoviario_km,1
consumo_urbano_km,1
autonomia_rodoviaria_km,1
autonomia_urbana_km,1
consumo_rodoviario_alcool_km,-1
consumo_urbano_alcool_km,-1
autonomia_rodoviaria_alcool_km,1
autonomia_urbana_alcool_km,1
aceleracao_0_100_km_h_s,-1
cilindrada_cm³,1
cilindrada_unitaria_cm³,1
porta_malas_litros,1
tanque_de_combustivel_litros,1
porta_malas_5_lugares_litros,1
porta_malas_7_lugares_litros,1
porta_malas_6_lugares_litros,1
diametro_minimo_de_giro_m,1
diametro_de_giro_m,1
frenagem_0_100_km_h_m,-1
area_frontal_m²,1
area_frontal_corrigida_m²,1
capacidade_de_bateria_kWh,1
consumo_eletrico_kWh,-1
seguranca,1
conforto,1
infotainimento,1
