...1,Marca:,Modelo Base:,Versão:,Ano:,Combustível:,Propulsão:,Configuração:,Garantia:,Lugares:,Portas:,Porte:,Procedência:,Valor FIPE:,Alimentação:,Aspiração:,cilindros,tipo_cilindro,Comando de Válvulas:,Disposição:,Instalação:,Razão de Compressão:,Válvulas por Cilindro:,Variação do Comando:,Acoplamento:,Câmbio:,Quantidade de Marchas:,Tração:,Pneus Dianteiros:,Pneus Traseiros:,Freios Dianteiros:,Freios Traseiros:,Suspensão Dianteira:,Elemento Elástico da Suspensão:,Suspensão Traseira:,Assistência de Direção:,Coeficiente de Arrasto:,url,id,Plataforma:,Código do Câmbio:,Acionamento do Comando:,Observações:,Código do Motor:,Geração:,Série:,Tuchos:,Pneu Estepe:,Capacidade de Bateria:,Potência de recarga:,Viscosidade do óleo:,valor_fipe,valor_data,garantia_em_anos,valvulas_por_cilindro,quantidade_de_marchas,geracao,coeficiente_de_arrasto
0,Alfa Romeo,145,145 Elegance 2.0,1996,Gasolina,Combustão,Hatch,1 ano,5,2,Médio,Importado,R$ 16.601 (09/2024),Injeção multiponto,Natural,4,em linha,"Duplo no cabeçote, correia dentada",Transversal,Dianteiro,"9,5:1",4,Admissão,Embreagem monodisco a seco,Manual,5,Dianteira,195/60 R14,195/60 R14,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",Hidráulica,"0,32",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16601,09/2024,1,4,5,NA,0.32
1,Alfa Romeo,155,155 Super 2.0,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Médio,Importado,R$ 17.040 (09/2024),Injeção multiponto,Natural,4,em linha,Duplo no cabeçote,Transversal,Dianteiro,"9,5:1",4,NA,Embreagem monodisco a seco,Manual,5,Dianteira,195/55 R15,195/55 R15,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",Hidráulica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17040,09/2024,1,4,5,NA,0.3
2,Alfa Romeo,155,155 Elegance 2.0,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Médio,Importado,R$ 13.819 (09/2024),Injeção multiponto,Natural,4,em linha,Duplo no cabeçote,Transversal,Dianteiro,"9,5:1",4,NA,NA,Manual,5,Dianteira,195/60 R14,195/60 R14,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",Hidráulica,"0,3",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13819,09/2024,1,4,5,NA,0.3
3,Alfa Romeo,164,164 Super 3.0 V6 AT,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Importado,R$ 26.377 (09/2024),Injeção multiponto,Natural,6,em V,Duplo no cabeçote,Transversal,Dianteiro,10:1,4,NA,Conversor de torque,Automático,4,Dianteira,195/65 R15,195/65 R15,Disco ventilado,Disco sólido,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",Hidráulica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,Type Four,ZF 4HP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26377,09/2024,1,4,4,NA,0.31
4,Alfa Romeo,164,164 Super 3.0 V6,1995,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Importado,R$ 26.377 (09/2024),Injeção multiponto,Natural,6,em V,Duplo no cabeçote,Transversal,Dianteiro,10:1,4,NA,Embreagem monodisco a seco,Manual,5,Dianteira,195/65 R15,195/65 R15,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,C503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26377,09/2024,1,4,5,NA,0.31
5,Alfa Romeo,164,164 3.0 V6,1991,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Importado,R$ 9.729 (09/2024),Injeção multiponto,Natural,6,em V,Único no cabeçote,Transversal,Dianteiro,"9,5:1",2,NA,Embreagem monodisco a seco,Manual,5,Dianteira,195/65 R15,195/65 R15,Disco ventilado,Disco sólido,"Independente, McPherson",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,C503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9729,09/2024,1,2,5,NA,0.31
6,Alfa Romeo,2300,2300 Ti4 2.3,1982,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,NA,Carburador,Natural,4,em linha,Duplo no cabeçote,Longitudinal,Dianteiro,"7,9:1",2,NA,Embreagem monodisco a seco,Manual,5,Traseira,195/70 R14,195/70 R14,Disco sólido,Disco sólido,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Hidráulica,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,Corrente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,NA,NA
7,Alfa Romeo,2300,2300 Ti 2.3,1977,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,NA,Carburador,Natural,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"7,5:1",2,NA,Embreagem monodisco a seco,Manual,5,Traseira,185/70 R14,185/70 R14,Disco sólido,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Não assistida,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,NA,NA
8,Alfa Romeo,2300,2300 B 2.3,1977,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,NA,Carburador,Natural,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"7,5:1",2,NA,Embreagem monodisco a seco,Manual,5,Traseira,185/70 R14,185/70 R14,Disco sólido,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Não assistida,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,NA,NA
9,Alfa Romeo,2300,2300 2.3,1974,Gasolina,Combustão,Sedã,1 ano,5,4,Grande,Nacional,NA,Carburador,Natural,4,em linha,"Duplo no cabeçote, corrente",Longitudinal,Dianteiro,"7,5:1",2,NA,Embreagem monodisco a seco,Manual,5,Traseira,185/70 R14,185/70 R14,Disco sólido,Disco sólido,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Não assistida,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,NA,NA
