id,torque_max_al_kgfm,torque_max_gas_kgfm,torque_m_rpm
108,25.5,25.5,1500
109,25.5,25.5,1500
133,25.5,25.5,1500
134,25.5,25.5,1500
144,25.5,25.5,1500
145,25.5,25.5,1500
146,25.5,25.5,1500
155,25.5,25.5,1500
156,25.5,25.5,1500
171,25.5,25.5,1500
188,25.5,25.5,1500
190,25.5,25.5,1500
192,25.5,25.5,1500
205,25.5,25.5,1500
207,25.5,25.5,1500
407,30.6,30.6,1350
408,30.6,30.6,1350
432,35.7,NA,NA
433,28.5,NA,NA
435,28.5,NA,NA
436,28.5,NA,NA
437,28.5,NA,NA
438,28.5,NA,NA
439,22.4,NA,NA
460,30.6,NA,NA
472,28.5,28.5,1250
493,35.7,35.7,1250
494,28.5,28.5,1250
495,28.5,28.5,1250
497,28.5,28.5,1500
498,28.5,28.5,1500
508,27.5,27.5,1250
518,35.7,35.7,1250
519,28.5,28.5,1500
521,28.5,28.5,1500
522,22.4,22.4,1500
532,27.5,27.5,1250
539,28.5,28.5,1250
540,28.5,28.5,1250
545,27.5,27.5,1250
546,35.7,35.7,1250
547,35.7,35.7,1250
553,28.5,28.5,1250
557,28.5,28.5,1250
559,35.7,35.7,1250
567,27.5,27.5,1250
568,31.6,31.6,1350
569,27.5,27.5,1250
570,35.7,35.7,1250
580,35.7,35.7,1250
581,27.5,27.5,1250
591,27.5,27.5,1250
592,27.5,27.5,1250
790,21.4,NA,NA
792,21.4,NA,NA
796,21.4,NA,NA
798,17.1,NA,NA
799,17.1,NA,NA
800,21.4,NA,NA
801,21.4,NA,NA
803,21.4,NA,NA
807,21.4,NA,NA
809,14.9,13.8,2700
810,21.4,21.4,4000
814,21.4,21.4,4000
815,21.4,21.4,4000
816,21.4,21.4,4000
817,21.4,21.4,4000
818,14.9,13.8,2700
819,14.9,13.8,2700
820,10.1,9.7,4500
821,14.9,13.8,2700
822,21.4,21.4,4000
823,19.4,19.4,4000
824,19.4,19.4,4000
826,10.1,9.7,4500
827,14.9,13.8,2700
828,14.9,13.8,2700
829,21.4,21.4,4000
830,21.4,21.4,4000
831,15.5,14.3,4000
832,10.1,9.7,4500
833,15.5,14.3,4000
836,15.5,14.3,4000
837,15.5,14.3,4000
838,13,13,4600
844,14,14,3000
845,14,14,3000
846,13.1,13,4600
880,16.8,16.3,2000
881,10.6,9.6,4100
882,16.8,NA,NA
883,16.8,NA,NA
884,16.8,NA,NA
885,16.8,NA,NA
886,16.8,NA,NA
887,10.6,NA,NA
888,16.8,NA,NA
891,17.7,16.8,2600
892,16.8,NA,NA
893,24.5,NA,NA
894,24.5,NA,NA
895,24.5,NA,NA
898,16.8,16.3,2000
899,27.3,26.3,4400
900,17.7,16.8,2600
901,17.7,16.8,2600
902,17.7,16.8,2600
903,16.8,16.3,2000
904,24.5,24,2000
905,24.5,24,2000
907,9.8,9.5,5200
908,16.8,16.3,2000
909,16.8,16.3,2000
910,16.8,16.3,2000
911,21.4,19.4,2000
912,16.8,16.3,2000
913,21.4,19.4,2000
914,16.8,16.3,2000
915,21.4,19.4,2000
916,16.8,16.3,2000
917,16.8,16.3,2000
919,17.7,16.8,2600
920,17.7,16.8,2600
925,9.8,9.5,5200
926,9.8,9.5,5200
927,9.8,9.5,5200
928,13,12.9,3200
929,16.8,16.3,2000
930,16.8,16.3,2000
931,16.8,16.3,2000
932,16.8,16.3,2000
933,10.6,9.6,4100
934,16.8,16.3,2000
935,16.8,16.3,2000
936,16.8,16.3,2000
937,16.8,16.3,2000
938,10.6,9.6,4100
939,16.8,16.3,2000
940,17.7,16.8,2600
941,17.7,16.8,2600
