ID,infoteinimento,infoteinimento_n
15,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Indicador de temperatura externa ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",185
16,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Indicador de temperatura externa ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",185
17,"CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Indicador de temperatura externa ,Navegador GPS ,Rádio ,Termômetro da água do motor ,Volante multifuncional",185
28,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",278
29,"Carregador de celular por indução ,CD player ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Termômetro do líquido de arrefecimento ,Volante multifuncional",293
30,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Conta-giros ,Espelhamento da tela do celular ,Filmagem do percurso ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Sonos ,Subwoofer ,Termômetro do líquido de arrefecimento ,Volante multifuncional",337
31,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Subwoofer ,TV digital ,Volante multifuncional",312
32,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Subwoofer ,TV digital ,Volante multifuncional",312
33,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Subwoofer ,TV digital ,Volante multifuncional",312
34,"Carregador de celular por indução ,Computador de bordo ,Conexão Bluetooth ,Conexão USB ,Espelhamento da tela do celular ,HD interno ,Head-up display ,Indicador de temperatura externa ,Leitor de cartão de memória ,Navegador GPS ,Rádio ,Sistema de som Bang & Olufsen ,Subwoofer ,TV digital ,Volante multifuncional",312
