ID,seguranca,seguranca_n
15,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de três pontos para todos os ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos os ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luzes de condução diurna' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Travamento central das portas' ,Vetorização de torque'",26
16,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de três pontos para todos os ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos os ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,ISOFIX para fixação de cadeira infantil' ,Luzes de condução diurna' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Travamento central das portas'",24
17,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de três pontos para todos os ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos os ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,ISOFIX para fixação de cadeira infantil' ,Luzes de condução diurna' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Travamento central das portas'",24
28,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Assistente de partida em rampa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",27
29,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,Frenagem automática de emergência' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",32
30,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Câmera traseira para manobras' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Freios ABS' ,Frenagem automática de emergência' ,Frenagem automática em manobras' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas'",35
31,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de desembarque' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Assistente de visão noturna' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Faróis de neblina' ,Freios ABS' ,Frenagem automática de emergência' ,Frenagem automática em manobras' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",41
32,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de desembarque' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Assistente de visão noturna' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Faróis de neblina' ,Freios ABS' ,Frenagem automática de emergência' ,Frenagem automática em manobras' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Limpador e lavador do vidro traseiro' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",41
33,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de desembarque' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Assistente de visão noturna' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Faróis de neblina' ,Freios ABS' ,Frenagem automática de emergência' ,Frenagem automática em manobras' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",40
34,"Airbags de cortina' ,Airbags frontais' ,Airbags laterais' ,Alarme antifurto perimétrico' ,Alarme antifurto volumétrico' ,Alerta de colisão frontal' ,Alerta de mudança de faixa' ,Alerta de ponto cego' ,Alerta de tráfego cruzado traseiro' ,Assistente de desembarque' ,Assistente de farol alto' ,Assistente de partida em rampa' ,Assistente de permanência em faixa' ,Assistente de visão noturna' ,Câmera traseira para manobras' ,Câmeras para visão de 360 graus' ,Cintos de 3 pontos para todos ocupantes' ,Controle automático de descida' ,Controle de estabilidade' ,Controle de tração' ,Desembaçador do vidro traseiro' ,Encosto de cabeça para todos ocupantes' ,Faróis com refletores duplos' ,Faróis com regulagem de altura' ,Faróis de LED' ,Faróis de neblina' ,Freios ABS' ,Frenagem automática de emergência' ,Frenagem automática em manobras' ,Indicador de fadiga' ,ISOFIX para fixação de cadeira infantil' ,Luz de condução diurna' ,Luz traseira de neblina' ,Monitoramento de pressão dos pneus' ,Repetidores laterais das luzes de direção' ,Sensores de estacionamento dianteiro' ,Sensores de estacionamento traseiro' ,Tração integral' ,Travamento central das portas' ,Vetorização de torque'",40
